Name,Review,UpVotes,Rating,Date,Opinion Unit,Unsupervised labels
Sarath S,Its good free player One goodness aganist all terrible things exit button video have inbuilt subs wont show need download again option stop sub title Subtitle syncing ourself never happens VLC Everytime open VLC player takes sec,24.0,4.0,"February 15, 2020","[['its', 'good', 'ad', 'free', 'player'], ['one', 'goodness', 'aganist', 'terrible', 'things'], ['1'], ['no', 'exit', 'button', '2'], ['if', 'video', 'inbuilt', 'subs', 'wont', 'show', 'i', 'need', 'download', '3'], ['no', 'option', 'stop', 'sub', 'title'], ['4'], ['subtitle', 'syncing', 'ourself', 'never', 'happens', 'vlc'], ['5'], ['everytime', 'i', 'open', 'vlc', 'player', 'takes']]","['neutral', 'neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Feature Request', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
JD,Twice now the past couple months have had all shows and movies downloaded here and twice within couple days most partial them are gone don know this has with update but whatever not working Frustrating having back and put them again,40.0,1.0,"February 16, 2020","[['twice', 'past', 'couple', 'months', 'i', 'tv', 'shows', 'movies', 'downloaded', 'twice', 'within', 'couple', 'days', 'partial', 'gone', 'i', 'know', 'update', 'whatever', 'working'], ['frustrating', 'go', 'back', 'put'], [], [], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Alex Pineiro,When watching video and pause and phone screen turns off when get back the video the position the video correct but volume settings and subtitle sync delay set gets reset forcing redo the sync and volume settings every time pause video for few minutes Because,124.0,2.0,"February 14, 2020","[['when', 'watching', 'video', 'i', 'pause', 'phone', 'screen', 'turns', 'i', 'get', 'back', 'video', 'position', 'video', 'correct', 'volume', 'settings', 'subtitle', 'sync', 'delay', 'i', 'set', 'gets', 'reset', 'forcing', 'redo', 'sync', 'volume', 'settings', 'every', 'time', 'i', 'pause', 'video', 'minutes'], ['because']]","['Redundant/NA', 'Redundant/NA']"
Asad Shaikh,This update sucks want the old version back When ever want increase decrease the volume sliding screen always skip the video secs And the second thing that when skip the video double tap screen pauses the video the same time Plz fix this problem soon,11.0,2.0,"February 14, 2020","[['this', 'update', 'sucks'], [], ['i', 'want', 'old', 'version', 'back'], [], ['when', 'ever', 'i', 'want', 'increase', 'decrease', 'volume', 'sliding', 'screen', 'always', 'skip', 'video', '10', 'secs'], [], ['and', 'second', 'thing', 'i', 'skip', 'video', 'double', 'tap', 'screen', 'pauses', 'video', 'time'], [], ['plz', 'fix', 'problem', 'soon']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Bug', 'Redundant/NA', 'Redundant/NA']"
Lionel Mwangi,finally used VLC today test only have one request put music videos and audios one place need them play that folder like normal playlist That can play audio file and click next play video file with problems like you implement this will,61.0,1.0,"February 7, 2020","[['so', 'finally', 'used', 'vlc', 'today', 'test'], ['i', 'one', 'request'], ['if', 'put', 'music', 'videos', 'audios', 'one', 'place', 'need', 'play', 'folder', 'like', 'normal', 'playlist'], [], [], ['that', 'play', 'audio', 'file', 'click', 'next', 'play', 'video', 'file', 'problems', 'like', 'mx'], ['if', 'implement']]","['Redundant/NA', 'Redundant/NA', 'neutral', 'Redundant/NA', 'Redundant/NA', 'neutral', 'Implementation']"
Shubham Shukla,still have the same issue stopping music while playing video audio after seconds Earlier versions did not have this bug but after recent updates this issue came along with there would have been such issue would have given Star ratings cause VLC the best player for andr,31.0,4.0,"February 5, 2020","[['it', 'still', 'issue', 'stopping', 'music', 'playing', 'video', 'audio', '30', 'seconds'], ['earlier', 'versions', 'bug', 'recent', 'updates', 'issue', 'came', 'along'], ['if', 'would', 'issue', 'i', 'would', 'given', '5', 'star', 'ratings', 'cause', 'vlc', 'best', 'player', 'andr']]","['Support', 'Support', 'Support']"
Bernardo Moreira,Won play mkv files love vlc computer and have used long can remember just knew about this app and was got pretty excited However can seem make play mkv files have tried with multiple videos now and only the first frame plays while the audio works fine The,23.0,3.0,"February 7, 2020","[['wo', 'play', 'mkv', 'files', 'i', 'love', 'vlc', 'computer', 'used', 'long', 'i', 'remember'], ['i', 'knew', 'app', 'i', 'got', 'pretty', 'excited'], ['however', 'i', 'ca', 'seem', 'make', 'play', 'mkv', 'files'], ['i', 'tried', 'multiple', 'videos', 'first', 'frame', 'plays', 'audio', 'works', 'fine'], [], [], ['the', 'f']]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Tiaan Flemmng,Hii all stugeling download videos from the tubidy site Everytime click download video starts open with vlc when ever download new songs have delete disable vlc download the video But otherwise thanx for great app Hope everyone can enjoy much,7.0,2.0,"February 10, 2020","[['hii'], ['im', 'stugeling', 'download', 'videos', 'tubidy', 'site'], ['everytime', 'click', 'download', 'video', 'starts', 'open', 'vlc'], ['so', 'ever', 'download', 'new', 'songs', 'delete', 'disable', 'vlc', 'download', 'video'], ['but', 'otherwise', 'thanx', 'great', 'app'], ['hope', 'everyone', 'enjoy', 'much']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Feature Request', 'Redundant/NA', 'Redundant/NA']"
Theo Priosti,Always the best video player both and mobile not happy with one thing subtitles smi format are not reproduced correctly code shown instead showing the apostrophe Both the computer and Android When you have full support for smi subtitles you get stars,42.0,4.0,"February 3, 2020","[['always', 'best', 'video', 'player', 'pc', 'mobile'], ['i', 'happy', 'one', 'thing', 'subtitles'], ['smi', 'format', 'reproduced', 'correctly'], ['a', 'code', 'shown', 'instead', 'showing', 'apostrophe'], ['both', 'computer', 'android'], ['when', 'full', 'support'], ['smi', 'subtitles', 'get', '5', 'stars'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'neutral', 'Redundant/NA', 'Redundant/NA']"
Denis Bach,This the Swiss Army knife for Android Fire and plays every file type speeds talkies with minimal artifacts slows down music without changing the key and with minimal artifacts Hotkeys are useful OPEN SOURCE THE FUTURE Meritocracy scientific method and,18.0,3.0,"February 8, 2020","[['this', 'swiss', 'army', 'knife', 'android', 'fire', 'pc', '1'], ['it', 'plays', 'every', 'av', 'file', 'type'], ['2'], ['it', 'speeds', 'talkies', 'minimal', 'artifacts'], ['3'], ['it', 'slows', 'music', 'without', 'changing', 'key', 'minimal', 'artifacts'], ['4'], ['hotkeys', 'pc', 'useful'], ['open', 'source', 'is', 'the', 'future', 'meritocracy', 'scientific', 'method']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
